year,mm-dd,location,parameter,unit,datatype,value
2020,1-1,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-2,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-3,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-4,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-5,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-6,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-7,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-8,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-9,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-10,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-11,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-12,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-13,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-14,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-15,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-16,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-17,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-18,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-19,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-20,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-21,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-22,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-23,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-24,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-25,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-26,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-27,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-28,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-29,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-30,BON,gaspct,%,Dissolved Gas Percent,NA
2020,1-31,BON,gaspct,%,Dissolved Gas Percent,NA
