Date,Species,Dam,Count,Avg,YTD,AvgYTD,TempS,TempC,Flow,Mflow,Spill
01-01-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,180.704,138.333,NA
01-02-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,198.421,135.028,NA
01-03-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,186.413,143.216,NA
01-04-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,175.083,152.023,NA
01-05-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,169.542,143.593,NA
01-06-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,160.513,143.477,NA
01-07-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,146.021,143.987,NA
01-08-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,165.404,144.76,NA
01-09-2013,Chinook,The Dalles,1,NA,1,NA,NA,NA,194.717,151.243,NA
01-10-2013,Chinook,The Dalles,NA,NA,1,NA,NA,NA,175.329,146.529,NA
01-11-2013,Chinook,The Dalles,NA,NA,1,NA,NA,NA,172.313,149.068,NA
01-12-2013,Chinook,The Dalles,NA,NA,1,NA,NA,NA,179.717,155.841,NA
01-13-2013,Chinook,The Dalles,1,NA,2,NA,NA,NA,171.075,143.627,NA
01-14-2013,Chinook,The Dalles,1,NA,3,NA,NA,NA,180.654,150.105,NA
01-15-2013,Chinook,The Dalles,-1,NA,2,NA,NA,NA,191.296,151.776,NA
01-16-2013,Chinook,The Dalles,1,NA,3,NA,NA,NA,195.367,156.428,NA
01-17-2013,Chinook,The Dalles,NA,NA,3,NA,NA,NA,183.375,155.527,NA
01-18-2013,Chinook,The Dalles,NA,NA,3,NA,NA,NA,170.7,155.888,NA
01-19-2013,Chinook,The Dalles,NA,NA,3,NA,NA,NA,173.85,163.713,NA
01-20-2013,Chinook,The Dalles,NA,NA,3,NA,NA,NA,156.458,151.38,NA
01-21-2013,Chinook,The Dalles,NA,NA,3,NA,NA,NA,182.358,159.086,NA
01-22-2013,Chinook,The Dalles,NA,NA,3,NA,NA,NA,187.208,154.466,NA
01-23-2013,Chinook,The Dalles,NA,NA,3,NA,NA,NA,177.929,161.446,NA
01-24-2013,Chinook,The Dalles,NA,NA,3,NA,NA,NA,159.596,158.912,NA
01-25-2013,Chinook,The Dalles,NA,NA,3,NA,NA,NA,170.929,159.713,NA
01-26-2013,Chinook,The Dalles,NA,NA,3,NA,NA,NA,143.225,160.678,NA
01-27-2013,Chinook,The Dalles,1,NA,4,NA,NA,NA,136.471,157.06,NA
01-28-2013,Chinook,The Dalles,NA,NA,4,NA,NA,NA,142.463,160.763,NA
01-29-2013,Chinook,The Dalles,NA,NA,4,NA,NA,NA,123.692,149.919,NA
01-30-2013,Chinook,The Dalles,NA,NA,4,NA,NA,NA,136.463,147.026,NA
01-31-2013,Chinook,The Dalles,NA,NA,4,NA,NA,NA,157.592,152.26,NA
02-01-2013,Chinook,The Dalles,NA,NA,4,NA,NA,NA,132.817,145.262,NA
02-02-2013,Chinook,The Dalles,NA,NA,4,NA,NA,NA,127.613,146.364,NA
02-03-2013,Chinook,The Dalles,NA,NA,4,NA,NA,NA,134.063,139.774,NA
02-04-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,144.108,142.95,NA
02-05-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,125.504,137.223,NA
02-06-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,140.042,134.657,NA
02-07-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,139.158,134.099,NA
02-08-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,139.729,147.04,NA
02-09-2013,Chinook,The Dalles,NA,NA,NA,NA,NA,NA,141.458,142.811,NA
